Time;U_t;V_t
1.44;0.3818359864775918;-8.235760699431358
1.445;0.33845422752506205;-9.09822021132557
1.45;0.29104920637900505;-9.843475563929934
1.455;0.24022950151466035;-10.462764568036828
1.46;0.1866435181630124;-10.948933526175116
1.465;0.13097123305841704;-11.296519197739173
1.47;0.07391558183812728;-11.501809229158171
1.475;0.01619360676761676;-11.562881387784188
1.48;-0.041472564632214035;-11.47961782858118
1.485;-0.09836471048005488;-11.253699995902544
1.49;-0.1537774597064615;-10.888579194406793
1.495;-0.20702701936085724;-10.389425685249218
1.5;-0.2574596004726313;-9.763056540762525
1.5050000000000001;-0.3044594285131754;-9.017843408959816
1.51;-0.34745624440407163;-8.163601283729655
1.5150000000000001;-0.38593220870514716;-7.211459758514289
1.52;-0.41942811791301254;-6.173718505683622
1.5250000000000001;-0.44754886482928846;-5.06368881085445
1.53;-0.4699680748916238;-3.895523211346094
1.5350000000000001;-0.4864318659756873;-2.6840354149967744
1.54;-0.4967616879703558;-1.444512784333534
1.545;-0.5008562112545614;-0.19252375629551355
1.55;-0.49869224459143696;1.0562773874359561
1.555;-0.4903246752705154;2.2863459454357096
1.56;-0.4758854369802312;3.4824399330954066
1.565;-0.4555815223342881;4.62980868464562
1.57;-0.4296920690334917;5.714374430672282
1.575;-0.3985645599808968;6.722904691930733
1.58;-0.36261018910254916;7.643173368137293
1.585;-0.3222984538137451;8.464108571458178
1.59;-0.2781510454751567;9.175925425971563
1.595;-0.23073511659345053;9.77024223340433
1.6;-0.18065601187558114;10.240178644113069
1.605;-0.12854955604029206;10.580434696545462
1.61;-0.07507399443355925;10.787349738905474
1.615;-0.020901693886080264;10.858940778803865
1.62;0.03328929823953715;10.794919704414403
1.625;0.08682372765099171;10.596689273701138
1.6300000000000001;0.139037532814543;10.26731810556337
1.635;0.18928606928086605;9.811495057411504
1.6400000000000001;0.23695205483391554;9.235463527221343
1.645;0.28145313743295786;8.546936719183174
1.6500000000000001;0.32224899566412035;7.754995037740338
1.655;0.3588478832684787;6.8699668308548
1.6600000000000001;0.39081253867452587;5.903294123394803
1.665;0.41776538802830243;4.867385063593894
1.67;0.4393929864736785;3.775455085337441
1.675;0.45544963583121745;2.641358680378741
1.68;0.46576014318372805;1.479413822484951
1.685;0.4702216895470478;0.30422160177552793
1.69;0.46880478650564794;-0.8695170951501288
1.695;0.46155331802005006;-2.0271849626498555
1.7;0.44858366579954306;-3.154430241127721
1.705;0.43008293540640796;-4.237344207906528
1.71;0.4063063096586289;-5.262632526271158
1.715;0.3775735662583601;-6.217778177546594
1.72;0.3442648039911835;-7.091193867409761
1.725;0.30681543937301775;-7.8723623216801
1.73;0.26571053392421073;-8.551962503412026
1.735;0.22147852924643274;-9.121980407574522
1.74;0.1746844706253014;-9.57580310204339
1.745;0.12592280184201618;-9.908294838184105
1.75;0.07580982984324865;-10.11585446842093
1.7550000000000001;0.02497594680265474;-10.196453449154562
1.76;-0.025942285676904278;-10.14965410713541
1.7650000000000001;-0.07631009573593911;-9.976607990443334
1.77;-0.12550240157627843;-9.680034430821213
1.7750000000000001;-0.17291155644656753;-9.264179667177439
1.78;-0.2179548413382598;-8.734757128029285
1.7850000000000001;-0.26008161396199125;-8.098869704301444
1.79;-0.298780026459614;-7.364915045490149
1.795;-0.33358322935799606;-6.542475158173677
1.8;-0.36407498690202444;-5.64219174203172
1.805;-0.389894637228218;-4.675628878579919
1.81;-0.4107413377810684;-3.6551248493697397
1.815;-0.4263775504272325;-2.593634823472403
1.82;-0.43663170949971014;-1.5045669451686288
1.825;-0.44140007250344393;-0.40161310513210763
1.83;-0.4406477083595063;0.7014229231406627
1.835;-0.4344086254443732;1.7907979347517533
1.84;-0.4227850399138701;2.853000255365827
1.845;-0.40594579755281407;3.8749170421943515
1.85;-0.3841239733993581;4.843995889118041
1.855;-0.3576136803024339;5.748398706264609
1.86;-0.3267661339644701;6.577146041968579
1.865;-0.29198502034193685;7.320250022819807
1.87;-0.2537212326552796;7.968834373100694
1.875;-0.21246704476979167;8.515240096073434
1.8800000000000001;-0.16874979048091648;8.953115398500287
1.885;-0.1231251363245931;9.277488880406889
1.8900000000000001;-0.07617004566799472;9.484826084418705
1.895;-0.028475462371168648;9.573065625784096
1.9000000000000001;0.019361079953940322;9.541639562813218
1.905;0.0667429475019524;9.39147343055632
1.9100000000000001;0.11308183243145091;9.124968027129546
1.915;0.15780504812876045;8.745962886355228
1.92;0.20036259346977167;8.25968205781549
1.925;0.2402339018881997;7.672662851400332
1.93;0.27693419948103054;6.992668508903536
1.935;0.31002038274575455;6.228586019778415
1.94;0.3390963542847713;5.390310381582232
1.945;0.36381774769099706;4.488616818634547
1.95;0.3838959874514279;3.5350226012657755
1.955;0.39910163503750734;2.5416402485450558
1.96;0.4092669839348317;1.5210239557808185
1.965;0.4142878735181408;0.4860112104912747
1.97;0.4141247033697194;-0.5504384153107
1.975;0.4088026384981087;-1.5754052760084378
1.98;0.39841100716389194;-2.5761704045888325
1.985;0.38310190160873275;-3.5403731328802897
1.99;0.36308799974851264;-4.456163778032969
1.995;0.33863965191020323;-5.312348065752089
2.0;0.3100812497749169;-6.0985249252666565
2.005;0.2777869442319521;-6.805211523209614
2.0100000000000002;0.24217576473059002;-7.42395797354815
2.015;0.20370619409614046;-7.9474475951036085
2.02;0.16287028398324055;-8.369583259927875
2.025;0.1201873717781506;-8.685557775054722
2.0300000000000002;0.0761974902316128;-8.891908098461496
2.035;0.03145454569178266;-8.986552450283591
2.04;-0.01348064469379831;-8.968810093611019
2.045;-0.0580473708229104;-8.83940356741115
2.05;-0.10169201549083198;-8.60044341474533
2.055;-0.14387491984647718;-8.255395715929813
2.06;-0.18407704522089277;-7.809032836961297
2.065;-0.22180634777764438;-7.267368141435622
2.07;-0.25660378812426393;-6.63757553234373
2.075;-0.2880489037431138;-5.92789490251479
2.08;-0.31576487539561243;-5.147524714774238
